game_id,team_name,team_KD,win
153722,NRG Esports,1.18,1
153723,NRG Esports,1.22,1
153725,Cloud9,1.27,1
153726,MIBR,1.13,1
153727,Cloud9,1.01,1
153728,NRG Esports,1.35,1
153729,NRG Esports,0.99,1
153731,MIBR,1.12,1
153732,MIBR,1.03,1
153734,MIBR,0.91,1
153735,MIBR,1.29,1
153737,LOUD,1.1,1
153738,LOUD,0.97,1
153740,LEVIATÁN,1.31,1
153741,100 Thieves,1.83,1
153742,LEVIATÁN,1.16,1
153743,LEVIATÁN,1.08,1
153744,LOUD,1.23,1
153745,LOUD,1.27,1
153746,Sentinels,1.54,1
153747,100 Thieves,1.16,1
153748,Sentinels,1.3,1
153749,Sentinels,1.43,1
153750,LEVIATÁN,1.33,1
153751,Sentinels,1.22,1
153752,KRÜ Esports,1.11,1
153753,G2 Esports,1.35,1
153754,G2 Esports,0.93,1
153758,Evil Geniuses,1.0,1
153759,Evil Geniuses,1.08,1
153764,G2 Esports,1.19,1
153765,G2 Esports,1.19,1
155114,ZETA DIVISION,1.21,1
155115,ZETA DIVISION,1.54,1
155117,Talon Esports,1.21,1
155118,Talon Esports,2.24,1
155120,DRX,1.19,1
155121,DRX,1.29,1
155123,Team Secret,1.21,1
155124,Team Secret,1.09,1
155126,Team Secret,1.44,1
155127,Team Secret,1.36,1
155129,T1,1.09,1
155130,T1,1.27,1
155132,DRX,1.31,1
155133,DRX,1.28,1
155135,ZETA DIVISION,1.07,1
155136,T1,1.76,1
155137,T1,1.25,1
155138,Global Esports,1.04,1
155139,BLEED,1.08,1
155140,Global Esports,1.15,1
155141,ZETA DIVISION,1.68,1
155142,ZETA DIVISION,1.7,1
155159,Gen.G,1.06,1
155160,Rex Regum Qeon,0.97,1
155161,Gen.G,1.08,1
155165,Gen.G,1.05,1
155166,Paper Rex,0.96,1
155167,Paper Rex,1.41,1
155171,Gen.G,1.23,1
155172,Rex Regum Qeon,1.08,1
155173,Gen.G,1.19,1
155759,Team Secret,1.71,1
155760,Team Secret,1.25,1
155762,Team Secret,1.64,1
155763,Gen.G,0.93,1
155764,Gen.G,1.06,1
155765,Gen.G,1.56,1
