game_id,team_name,team_KD_win,team_KD_loss
153722,FURIA,,0.85
153722,NRG Esports,1.18,
153723,FURIA,,0.82
153723,NRG Esports,1.22,
153725,Cloud9,1.27,
153725,MIBR,,0.78
153726,Cloud9,,0.88
153726,MIBR,1.13,
153727,Cloud9,1.01,
153727,MIBR,,0.99
153728,Cloud9,,0.74
153728,NRG Esports,1.35,
153729,Cloud9,,1.01
153729,NRG Esports,0.99,
153731,FURIA,,0.89
153731,MIBR,1.12,
153732,FURIA,,0.98
153732,MIBR,1.03,
153734,Cloud9,,1.10
153734,MIBR,0.91,
153735,Cloud9,,0.78
153735,MIBR,1.29,
153737,LOUD,1.10,
153737,Sentinels,,0.91
153738,LOUD,0.97,
153738,Sentinels,,1.03
153740,100 Thieves,,0.76
153740,LEVIATÁN,1.31,
153741,100 Thieves,1.83,
153741,LEVIATÁN,,0.53
153742,100 Thieves,,0.86
153742,LEVIATÁN,1.16,
153743,LEVIATÁN,1.08,
153743,LOUD,,0.93
153744,LEVIATÁN,,0.81
153744,LOUD,1.23,
153745,LEVIATÁN,,0.79
153745,LOUD,1.27,
153746,100 Thieves,,0.65
153746,Sentinels,1.54,
153747,100 Thieves,1.16,
153747,Sentinels,,0.86
153748,100 Thieves,,0.77
153748,Sentinels,1.30,
153749,LEVIATÁN,,0.69
153749,Sentinels,1.43,
153750,LEVIATÁN,1.33,
153750,Sentinels,,0.75
153751,LEVIATÁN,,0.82
153751,Sentinels,1.22,
153752,G2 Esports,,0.90
153752,KRÜ Esports,1.11,
153753,G2 Esports,1.35,
153753,KRÜ Esports,,0.74
153754,G2 Esports,0.93,
153754,KRÜ Esports,,1.07
153758,Evil Geniuses,1.00,
153758,G2 Esports,,1.00
153759,Evil Geniuses,1.08,
153759,G2 Esports,,0.93
153764,G2 Esports,1.19,
153764,KRÜ Esports,,0.84
153765,G2 Esports,1.19,
153765,KRÜ Esports,,0.84
155114,Global Esports,,0.83
155114,ZETA DIVISION,1.21,
155115,Global Esports,,0.65
155115,ZETA DIVISION,1.54,
155117,Talon Esports,1.21,
155117,Team Secret,,0.82
155118,Talon Esports,2.24,
155118,Team Secret,,0.45
155120,DRX,1.19,
155120,Talon Esports,,0.84
155121,DRX,1.29,
155121,Talon Esports,,0.77
155123,DetonatioN FocusMe,,0.82
155123,Team Secret,1.21,
155124,DetonatioN FocusMe,,0.92
155124,Team Secret,1.09,
155126,Talon Esports,,0.70
155126,Team Secret,1.44,
155127,Talon Esports,,0.74
155127,Team Secret,1.36,
155129,BLEED,,0.92
155129,T1,1.09,
155130,BLEED,,0.79
155130,T1,1.27,
155132,DRX,1.31,
155132,DetonatioN FocusMe,,0.76
155133,DRX,1.28,
155133,DetonatioN FocusMe,,0.78
155135,T1,,0.93
155135,ZETA DIVISION,1.07,
155136,T1,1.76,
155136,ZETA DIVISION,,0.57
155137,T1,1.25,
155137,ZETA DIVISION,,0.80
155138,BLEED,,0.96
155138,Global Esports,1.04,
155139,BLEED,1.08,
155139,Global Esports,,0.93
155140,BLEED,,0.86
155140,Global Esports,1.15,
155141,Global Esports,,0.60
155141,ZETA DIVISION,1.68,
155142,Global Esports,,0.59
155142,ZETA DIVISION,1.70,
155159,Gen.G,1.06,
155159,Rex Regum Qeon,,0.94
155160,Gen.G,,1.03
155160,Rex Regum Qeon,0.97,
155161,Gen.G,1.08,
155161,Rex Regum Qeon,,0.93
155165,Gen.G,1.05,
155165,Paper Rex,,0.96
155166,Gen.G,,1.04
155166,Paper Rex,0.96,
155167,Gen.G,,0.71
155167,Paper Rex,1.41,
155171,Gen.G,1.23,
155171,Rex Regum Qeon,,0.81
155172,Gen.G,,0.93
155172,Rex Regum Qeon,1.08,
155173,Gen.G,1.19,
155173,Rex Regum Qeon,,0.84
155759,Team Secret,1.71,
155759,ZETA DIVISION,,0.58
155760,Team Secret,1.25,
155760,ZETA DIVISION,,0.80
155762,Gen.G,,0.61
155762,Team Secret,1.64,
155763,Gen.G,0.93,
155763,Team Secret,,1.07
155764,Gen.G,1.06,
155764,Team Secret,,0.94
155765,Gen.G,1.56,
155765,ZETA DIVISION,,0.64
155766,Gen.G,1.46,
155766,ZETA DIVISION,,0.69
155768,Paper Rex,1.04,
155768,T1,,0.96
155769,Paper Rex,1.15,
155769,T1,,0.87
155771,DRX,,0.83
155771,Gen.G,1.20,
155772,DRX,,0.91
155772,Gen.G,1.10,
155774,Gen.G,1.42,
155774,Paper Rex,,0.71
155775,Gen.G,,0.75
155775,Paper Rex,1.34,
155776,Gen.G,1.15,
155776,Paper Rex,,0.87
155777,Gen.G,1.58,
155777,Paper Rex,,0.63
156072,FUT Esports,,0.95
156072,Team Heretics,1.05,
156073,FUT Esports,,0.98
156073,Team Heretics,1.02,
156075,GIANTX,,0.98
156075,Karmine Corp,1.02,
156076,GIANTX,1.08,
156076,Karmine Corp,,0.93
156077,GIANTX,,0.59
156077,Karmine Corp,1.69,
156078,Karmine Corp,,0.63
156078,Team Heretics,1.58,
156079,Karmine Corp,,0.59
156079,Team Heretics,1.71,
156081,FUT Esports,1.28,
156081,GIANTX,,0.78
156082,FUT Esports,,0.89
156082,GIANTX,1.13,
156083,FUT Esports,1.56,
156083,GIANTX,,0.64
156084,FUT Esports,,0.85
156084,Karmine Corp,1.17,
156085,FUT Esports,1.56,
156085,Karmine Corp,,0.64
156086,FUT Esports,,0.90
156086,Karmine Corp,1.11,
156087,BBL Esports,1.01,
156087,Natus Vincere,,0.96
156088,BBL Esports,,0.73
156088,Natus Vincere,1.36,
156089,BBL Esports,,0.73
156089,Natus Vincere,1.37,
156090,KOI,,0.91
156090,Team Liquid,1.09,
156091,KOI,,0.94
156091,Team Liquid,1.06,
156093,Natus Vincere,1.22,
156093,Team Liquid,,0.82
156094,Natus Vincere,1.21,
156094,Team Liquid,,0.83
156096,BBL Esports,,0.76
156096,KOI,1.31,
156097,BBL Esports,,0.87
156097,KOI,1.14,
156099,KOI,1.15,
156099,Team Liquid,,0.87
156100,KOI,,0.94
156100,Team Liquid,1.07,
156101,KOI,0.99,
156101,Team Liquid,,1.01
156102,Gentle Mates,,0.92
156102,Team Vitality,1.09,
156103,Gentle Mates,,0.75
156103,Team Vitality,1.34,
156108,FNATIC,1.08,
156108,Team Vitality,,0.93
156109,FNATIC,1.74,
156109,Team Vitality,,0.58
156114,Gentle Mates,1.33,
156114,Team Vitality,,0.75
156115,Gentle Mates,,0.93
156115,Team Vitality,1.06,
156116,Gentle Mates,,0.92
156116,Team Vitality,1.08,
160715,LOUD,,0.78
160715,Sentinels,1.28,
160716,LOUD,,0.56
160716,Sentinels,1.78,
160717,LOUD,1.13,
160717,Sentinels,,0.88
160718,Evil Geniuses,1.39,
160718,LOUD,,0.72
160719,Evil Geniuses,,0.74
160719,LOUD,1.36,
160720,Evil Geniuses,,0.62
160720,LOUD,1.62,
160721,NRG Esports,,0.82
160721,Sentinels,1.21,
160722,NRG Esports,1.18,
160722,Sentinels,,0.84
160723,NRG Esports,,0.70
160723,Sentinels,1.44,
160724,LOUD,1.19,
160724,Sentinels,,0.84
160725,LOUD,,0.89
160725,Sentinels,1.13,
160735,Natus Vincere,,0.99
160735,Team Heretics,1.01,
160736,Natus Vincere,,0.60
160736,Team Heretics,1.67,
160738,FNATIC,,0.95
160738,Karmine Corp,1.05,
160739,FNATIC,,0.83
160739,Karmine Corp,1.20,
160741,Karmine Corp,,0.87
160741,Team Heretics,1.15,
160742,Karmine Corp,1.39,
160742,Team Heretics,,0.72
160743,Karmine Corp,1.42,
160743,Team Heretics,,0.70
160744,Karmine Corp,1.46,
160744,Team Heretics,,0.68
161388,KOI,,0.59
161388,Karmine Corp,1.66,
161389,KOI,,0.77
161389,Karmine Corp,1.30,
161391,KOI,,0.85
161391,Team Vitality,1.16,
161392,KOI,,0.76
161392,Team Vitality,1.32,
161394,Karmine Corp,1.26,
161394,Team Vitality,,0.78
161395,Karmine Corp,0.96,
161395,Team Vitality,,1.04
161397,MIBR,,0.83
161397,Sentinels,1.21,
161398,MIBR,,0.72
161398,Sentinels,1.39,
161400,G2 Esports,,0.89
161400,MIBR,1.12,
161401,G2 Esports,1.02,
161401,MIBR,,0.98
161402,G2 Esports,,0.83
161402,MIBR,1.21,
161403,G2 Esports,,0.82
161403,Sentinels,1.22,
161404,G2 Esports,1.34,
161404,Sentinels,,0.74
161405,G2 Esports,0.96,
161405,Sentinels,,1.04
162326,FunPlus Phoenix,,0.89
162326,Karmine Corp,1.13,
162327,FunPlus Phoenix,,0.87
162327,Karmine Corp,1.16,
162329,Gen.G,0.91,
162329,LOUD,,1.09
162330,Gen.G,,0.75
162330,LOUD,1.34,
162331,Gen.G,1.32,
162331,LOUD,,0.76
162332,EDward Gaming,,0.83
162332,Paper Rex,1.21,
162333,EDward Gaming,1.04,
162333,Paper Rex,,0.94
162334,EDward Gaming,1.36,
162334,Paper Rex,,0.74
162335,Sentinels,1.13,
162335,Team Heretics,,0.88
162336,Sentinels,,0.65
162336,Team Heretics,1.53,
162337,Sentinels,1.10,
162337,Team Heretics,,0.90
162338,LOUD,,0.72
162338,Sentinels,1.38,
162339,LOUD,1.27,
162339,Sentinels,,0.79
162340,LOUD,,1.21
162340,Sentinels,0.82,
162341,Gen.G,1.16,
162341,Paper Rex,,0.86
162342,Gen.G,1.20,
162342,Paper Rex,,0.84
162344,Gen.G,1.08,
162344,Sentinels,,0.92
162345,Gen.G,,0.79
162345,Sentinels,1.27,
162346,Gen.G,1.75,
162346,Sentinels,,0.57
162347,Gen.G,1.06,
162347,Sentinels,,0.95
162348,Gen.G,,0.99
162348,Sentinels,1.01,
162349,Gen.G,1.11,
162349,Sentinels,,0.90
162350,Gen.G,,0.82
162350,Sentinels,1.20,
162351,Gen.G,,0.76
162351,Sentinels,1.32,
162352,LOUD,,0.96
162352,Paper Rex,1.04,
162353,Paper Rex,,0.78
162353,Sentinels,1.28,
162354,Paper Rex,,0.68
162354,Sentinels,1.47,
162355,Paper Rex,1.47,
162355,Sentinels,,0.68
